Search Cell,A. ligamentina,A. plicata,C. pustulosa,C. tuberculata,E. dilatata,F. flava,L. cardium,L. complanata,L. compressa,L. costata,L. fasciola,L. fragilis,L. recta,L. siliquoidea,P. cyphyus,P. fasciolaris,Pyganodon,P. sintoxia,Q. quadrula,S. undulatus,T. cylindrica,T. verrucosa,U. imbecillis,V. iris,P alatus,Grp,Col,pch,Betadisper
Trad_1L,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,A,7,15,0.32505491
Trad_2L,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,A,7,15,0.480754
Trad_3L,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,A,7,15,0.21450371
Trad_4L,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,A,7,15,0.16665008
Trad_5L,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,A,7,15,0.58883568
Trad_6L,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,B,7,17,0.08304724
Trad_7L,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,B,7,17,0
Trad_8L,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,A,7,15,0.20649637
Trad_9L,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,B,7,17,0.2032317
Trad_10L,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,B,7,17,0.18629672
Trad_1R,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,A,7,15,0.23352903
Trad_2R,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,B,7,17,0
Trad_3R,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,A,7,15,0.32649966
Trad_4R,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,A,7,15,0.24794472
Trad_5R,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,B,7,17,0.11063944
Trad_6R,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,B,7,17,0.14804724
Trad_7R,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,A,7,15,0.23533295
Trad_8R,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,B,7,17,0
Trad_9R,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,B,7,17,0.19259017
Trad_10R,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,B,7,17,0.11049946
Trad_11R,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,A,7,15,0.61407826
Trad_12R,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,A,7,15,0.52628047
eDNA_1L,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,C,2,16,0.10621195
eDNA_2L,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,C,2,16,0.1548789
eDNA_3L,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,C,2,16,0.04068413
eDNA_4L,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,C,2,16,0.08768873
eDNA_5L,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,C,2,16,0.1267008
eDNA_6L,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,C,2,16,0.05728187
eDNA_7L,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,C,2,16,0.12636614
eDNA_8L,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,C,2,16,0.19007725
