Search Cell,People Mins,People Hours,Live Count,Richness,CPUE,A. ligamentina,A. plicata,C. pustulosa,C. tuberculata,E. dilatata,F. flava,L. cardium,L. complanata,L. compressa,L. costata,L. fasciola,L. fragilis,L. recta,L. siliquoidea,P. cyphyus,P. fasciolaris,P. grandis,P. sintoxia,Q. quadrula,S. undulatus,T. cylindrica,T. verrucosa,U. imbecillis,V. iris
10L,985,16.41666667,409,18,24.91370558,133,124,5,1,1,8,6,9,0,16,3,0,1,1,3,0,0,7,0,2,64,24,1,0
10R,1560,26,775,18,29.80769231,194,248,13,1,0,10,109,16,1,33,2,0,0,44,8,0,0,4,0,5,69,15,2,1
11R,70,1.166666667,21,4,18,0,3,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0
12R,130,2.166666667,16,6,7.384615385,4,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0
1L,442,7.366666667,299,11,40.58823529,1,260,1,0,0,6,2,12,0,3,0,1,0,8,0,0,0,0,0,1,0,4,0,0
1R,311,5.183333333,365,15,70.41800643,4,247,2,1,0,6,0,26,0,28,1,0,0,19,0,0,2,1,0,1,3,9,15,0
2L,548,9.133333333,49,7,5.364963504,2,39,0,0,0,2,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
2R,969,16.15,410,18,25.3869969,2,258,1,1,0,32,5,18,4,39,1,0,0,25,1,0,1,1,0,7,6,4,4,0
3L,751,12.51666667,301,16,24.04793609,7,137,0,1,0,5,101,8,3,6,1,0,0,11,8,0,0,3,0,2,2,5,1,0
3R,850,14.16666667,387,12,27.31764706,10,237,0,0,1,12,0,22,0,14,0,0,0,71,0,0,2,1,0,4,0,7,6,0
4L,350,5.833333333,98,14,16.8,2,44,0,2,0,6,2,9,0,3,2,0,0,9,0,0,0,2,0,2,7,6,2,0
4R,390,6.5,190,14,29.23076923,2,140,0,0,0,1,1,15,1,9,0,1,0,10,0,0,2,0,0,1,2,1,4,0
5L,130,2.166666667,38,6,17.53846154,0,5,0,1,0,0,0,3,0,0,0,0,0,27,0,0,1,0,0,0,0,1,0,0
5R,1405,23.41666667,1211,18,51.71530249,29,948,5,8,0,19,7,71,2,35,1,0,0,33,15,1,0,9,0,4,12,8,4,0
6L,1173,19.55,248,17,12.68542199,57,106,2,2,0,1,12,9,2,9,0,0,0,16,5,0,1,5,0,4,6,9,2,0
6R,3685,61.41666667,3490,21,56.82496608,164,2236,14,7,2,92,10,224,5,293,11,0,1,52,32,0,4,28,1,48,72,180,14,0
7L,2021,33.68333333,1039,18,30.84611578,94,515,3,4,0,26,11,96,5,54,3,0,0,95,12,0,1,11,0,7,31,69,2,0
7R,285,4.75,110,15,23.15789474,2,56,4,0,0,2,1,14,1,3,0,0,0,4,2,0,0,1,0,2,10,2,6,0
8L,557,9.283333333,190,13,20.46678636,31,41,0,0,0,1,1,14,0,5,2,1,0,26,0,0,0,1,0,1,58,8,0,0
8R,1488,24.8,424,18,17.09677419,30,189,3,3,0,18,2,31,3,29,1,0,0,32,13,0,3,4,0,4,30,16,13,0
9L,994,16.56666667,584,16,35.25150905,137,226,7,18,1,8,6,10,0,19,9,0,0,19,2,0,0,10,0,5,67,40,0,0
9R,2681,44.68333333,1545,18,34.5766505,226,749,17,7,0,36,19,32,4,74,15,1,1,67,25,0,0,45,0,17,180,30,0,0
Grand Total,21775,362.9166667,12199,24,33.61377727,1131,6812,77,57,5,292,296,641,31,672,53,4,3,582,127,1,17,133,1,117,632,438,76,1
